age,job,marital,education,housing,loan,deposit
59,admin.,married,secondary,yes,no,yes
56,admin.,married,secondary,no,no,yes
41,technician,married,secondary,yes,no,yes
55,services,married,secondary,yes,no,yes
54,admin.,married,tertiary,no,no,yes
42,management,single,tertiary,yes,yes,yes
56,management,married,tertiary,yes,yes,yes
60,retired,divorced,secondary,yes,no,yes
37,technician,married,secondary,yes,no,yes
28,services,single,secondary,yes,no,yes
38,admin.,single,secondary,yes,no,yes
30,blue-collar,married,secondary,yes,no,yes
29,management,married,tertiary,yes,yes,yes
46,blue-collar,single,tertiary,yes,no,yes
31,technician,single,tertiary,yes,no,yes
35,management,divorced,tertiary,yes,no,yes
32,blue-collar,single,primary,yes,no,yes
49,services,married,secondary,yes,no,yes
41,admin.,married,secondary,yes,no,yes
49,admin.,divorced,secondary,yes,yes,yes
28,admin.,divorced,secondary,yes,no,yes
43,management,single,tertiary,yes,no,yes
43,management,divorced,tertiary,yes,no,yes
43,blue-collar,married,primary,yes,no,yes
37,unemployed,single,secondary,yes,no,yes
35,blue-collar,single,secondary,yes,no,yes
31,technician,single,tertiary,yes,no,yes
43,blue-collar,single,secondary,yes,no,yes
31,admin.,married,secondary,yes,no,yes
28,blue-collar,single,secondary,yes,no,yes
32,blue-collar,married,secondary,yes,no,yes
60,technician,married,primary,yes,no,yes
26,blue-collar,single,secondary,yes,no,yes
40,blue-collar,married,secondary,yes,no,yes
33,blue-collar,divorced,primary,yes,no,yes
32,management,single,tertiary,no,no,yes
35,blue-collar,married,primary,no,no,yes
33,management,divorced,secondary,yes,no,yes
38,management,married,tertiary,yes,no,yes
23,entrepreneur,single,primary,yes,no,yes
60,blue-collar,married,primary,yes,yes,yes
48,management,married,tertiary,yes,no,yes
45,entrepreneur,divorced,tertiary,yes,no,yes
36,blue-collar,married,secondary,yes,no,yes
52,management,married,unknown,yes,no,yes
35,blue-collar,divorced,primary,yes,no,yes
43,technician,married,secondary,yes,no,yes
52,housemaid,married,secondary,yes,no,yes
53,technician,divorced,primary,yes,no,yes
48,blue-collar,divorced,primary,yes,no,yes
41,blue-collar,single,primary,yes,no,yes
39,management,divorced,tertiary,yes,yes,yes
59,retired,married,secondary,yes,yes,yes
41,blue-collar,married,secondary,yes,no,yes
48,blue-collar,married,secondary,yes,no,yes
40,admin.,married,secondary,yes,no,yes
48,blue-collar,married,secondary,yes,no,yes
60,retired,married,primary,yes,no,yes
40,technician,single,unknown,yes,no,yes
57,technician,married,tertiary,no,no,yes
51,blue-collar,married,secondary,yes,no,yes
41,blue-collar,divorced,secondary,yes,no,yes
41,blue-collar,married,secondary,yes,no,yes
52,blue-collar,divorced,primary,yes,no,yes
59,blue-collar,married,primary,yes,no,yes
44,blue-collar,married,unknown,yes,no,yes
49,unknown,married,primary,yes,yes,yes
40,services,married,primary,yes,no,yes
41,admin.,married,primary,yes,no,yes
44,technician,married,tertiary,yes,no,yes
60,services,single,primary,yes,no,yes
29,management,married,tertiary,no,no,yes
41,retired,divorced,primary,yes,no,yes
41,blue-collar,married,primary,yes,no,yes
42,technician,single,secondary,yes,no,yes
36,services,single,unknown,yes,no,yes
39,technician,married,tertiary,yes,yes,yes
31,self-employed,single,tertiary,yes,no,yes
26,blue-collar,married,secondary,yes,no,yes
31,blue-collar,married,secondary,yes,no,yes
29,admin.,single,secondary,yes,yes,yes
37,services,divorced,secondary,yes,no,yes
33,blue-collar,single,secondary,yes,no,yes
24,technician,single,secondary,yes,no,yes
50,admin.,divorced,secondary,yes,no,yes
27,technician,single,tertiary,yes,no,yes
54,management,single,tertiary,yes,no,yes
30,technician,single,secondary,yes,no,yes
34,blue-collar,married,primary,yes,yes,yes
37,management,single,secondary,yes,no,yes
41,admin.,single,secondary,yes,no,yes
47,blue-collar,married,secondary,yes,no,yes
31,admin.,married,secondary,yes,no,yes
31,blue-collar,married,secondary,yes,no,yes
43,services,divorced,secondary,yes,no,yes
37,management,divorced,tertiary,yes,no,yes
30,technician,single,tertiary,yes,yes,yes
41,technician,married,secondary,yes,no,yes
36,blue-collar,married,secondary,yes,no,yes
35,blue-collar,divorced,secondary,yes,no,yes
29,services,single,secondary,yes,no,yes
35,blue-collar,married,primary,yes,no,yes
31,blue-collar,married,secondary,yes,no,yes
35,services,married,secondary,yes,no,yes
34,technician,single,secondary,yes,no,yes
31,admin.,single,secondary,yes,yes,yes
44,technician,divorced,secondary,yes,no,yes
36,blue-collar,married,primary,yes,yes,yes
35,blue-collar,married,unknown,yes,no,yes
41,blue-collar,married,primary,yes,no,yes
31,blue-collar,single,primary,yes,no,yes
34,blue-collar,married,secondary,yes,no,yes
32,technician,married,secondary,yes,no,yes
36,management,married,tertiary,yes,yes,yes
30,blue-collar,single,secondary,yes,no,yes
37,technician,single,secondary,yes,no,yes
36,blue-collar,married,primary,yes,no,yes
31,management,single,tertiary,yes,no,yes
27,technician,married,secondary,yes,yes,yes
34,retired,married,primary,no,no,yes
30,technician,single,tertiary,yes,no,yes
32,technician,single,tertiary,yes,no,yes
37,technician,single,secondary,yes,no,yes
32,blue-collar,married,secondary,yes,no,yes
33,blue-collar,married,secondary,yes,no,yes
35,blue-collar,married,primary,yes,no,yes
35,self-employed,divorced,tertiary,yes,no,yes
30,blue-collar,single,secondary,yes,no,yes
45,blue-collar,divorced,primary,yes,no,yes
45,admin.,married,secondary,yes,no,yes
33,blue-collar,married,secondary,yes,no,yes
44,management,divorced,tertiary,no,no,yes
40,blue-collar,married,primary,yes,no,yes
31,blue-collar,married,secondary,yes,no,yes
30,technician,married,tertiary,yes,no,yes
44,technician,divorced,secondary,yes,no,yes
34,services,married,secondary,yes,no,yes
37,blue-collar,married,secondary,no,no,yes
28,self-employed,single,tertiary,yes,no,yes
32,admin.,single,secondary,yes,no,yes
37,blue-collar,divorced,secondary,yes,no,yes
34,management,married,tertiary,yes,no,yes
38,admin.,divorced,secondary,yes,no,yes
28,admin.,single,secondary,yes,no,yes
31,management,divorced,tertiary,yes,no,yes
59,services,married,secondary,yes,no,yes
24,blue-collar,married,secondary,yes,no,yes
26,services,single,secondary,yes,no,yes
59,retired,single,secondary,yes,no,yes
30,entrepreneur,single,primary,yes,yes,yes
37,admin.,married,secondary,yes,no,yes
30,admin.,single,secondary,yes,yes,yes
25,blue-collar,married,secondary,yes,no,yes
44,services,divorced,secondary,yes,yes,yes
29,management,married,tertiary,no,no,yes
26,management,single,tertiary,yes,no,yes
26,technician,single,secondary,yes,no,yes
27,services,single,secondary,yes,no,yes
25,self-employed,single,secondary,yes,no,yes
28,management,married,secondary,yes,no,yes
23,services,single,secondary,yes,no,yes
34,management,single,tertiary,yes,no,yes
28,student,single,secondary,yes,no,yes
51,entrepreneur,married,unknown,yes,no,yes
35,blue-collar,married,secondary,yes,yes,yes
